date,series,value,source,retrieved_at
2022-10-01,Educación,827.9004,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-11-01,Educación,859.0553,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-12-01,Educación,892.6222,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-01-01,Educación,902.0686,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-02-01,Educación,930.4868,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-03-01,Educación,1201.1258,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-04-01,Educación,1261.5273,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-05-01,Educación,1323.5067,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-06-01,Educación,1410.4778,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-07-01,Educación,1496.9625,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-08-01,Educación,1626.7843,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
